short_name,long_name
NMIBC-SI,Nonmuscle Invasive Bladder Cancer - Symptom Index
IPA,Impact on Participation and Autonomy Questionnaire
WMFI,Wood Mental Fatigue Inventory
QOLHEQ,Quality of Life in Hand Eczema Questionnaire
AA-VAS,Arthritis Activity Visual Analogue Scale
TIS,Three Item Severity score
Ped-PRO-CTCAE,Pediatric - Patient-Reported Outcomes – Common Terminology Criteria for Ad...
Ped-PRO-CTCAE (Proxy Version),Pediatric - Patient-Reported Outcomes – Common Terminology...
IVI TBS,Intravitreal Injections Treatment Burden Score
CHSA,Children's Health Survey for Asthma
TuCASA,Tucson Children's Assessment of Sleep Apnea Study
GSP,Generic Scale of Phubbing
GSBP,Generic Scale of Being Phubbed
CSD,Consensus Sleep Diary
BSMAS,Bergen Social Media Addiction Scale
PADQLQ,Pediatric Allergic Disease Quality of Life Questionnaire
Comano Score,Comano Score
CIQOLL,Chronic Illness Quality of Life Ladder
SIMS,Sickle Cell Impact Measurement Scale
SCD-HRSS,Sickle Cell Disease Health-Related Stigma Scale
MoSCS,Measure of Sickle Cell Stigma
VSDS,Venous Segmental Disease Score
PPE-15,Picker Patient Experience Questionnaire
SRAS-SF,Simple Rathus Assertiveness Scale-Short Form
MUIS,Mishel Uncertainty in Illness Scale
Patient-Reported Global Severity of Atopic Dermatitis,Patient-Reported Global Severity o...
HSBOD,Hidradenitis Suppurativa Burden of Disease
CAHPS® Surgical Care Survey,Consumer Assessment of Healthcare Providers and Systems®Surg...
ADDI,Autoinflammatory Disease Damage Index
CAHPS® American Indian Survey,Consumer Assessment of Healthcare Providers and Systems®Am...
CAHPS® Cancer Care Survey-Radiation Therapy,Consumer Assessment of Healthcare Providers ...
PSS: IH,Parental Stressor Scale: Infant Hospitalization
CAHPS® Cancer Care Survey-Drug Therapy,Consumer Assessment of Healthcare Providers and S...
IMS,Itch-Man Scale
CAHPS® Cancer Care Survey-Cancer Surgery,Consumer Assessment of Healthcare Providers and...
CAHPS® Health Plan Survey 5.1-Adult,Consumer Assessment of Healthcare Providers and Syst...
CAHPS® Dental Plan Survey,Consumer Assessment of Healthcare Providers and Systems®CAHPS®...
ED CAHPS® Survey1.0,Emergency Department Consumer Assessment of Healthcare Providers and...
CEQ,Childhood Eczema Questionnaire
SS-10,Sensitive Scale-10
HEST,Hepatic Encephalopathy Staging Tool
RCTC v.2.1,Rheumatology Common Toxicity Criteria version 2.1
CAHPS® Health Plan Survey 5.1-Child,Consumer Assessment of Health Services Research Heal...
HESA,Hepatic Encephalopathy Scoring Algorithm
CAHPS® Hospital Survey-Adult,Consumer Assessment of Healthcare Providers and Systems® Ho...
CAHPS® Hospital Survey-Child,Consumer Assessment of Healthcare Providers and Systems® Ho...
CAHPS® In-Center Hemodialysis Survey,Consumer Assessment of Healthcare Providers and Sys...
CAHPS® Nursing Home Survey: Long-Stay Resident,Consumer Assessment of Healthcare Provide...
CAHPS® Nursing Home Survey: Discharged Resident,Consumer Assessment of Healthcare Provid...
CAHPS® Nursing Home Survey: Family Member,Consumer Assessment of Healthcare Providers an...
CAHPS® Outpatient and Ambulatory Surgery,Consumer Assessment of Healthcare Providers and...
GRSS,Global Respiratory Severity Score
ReSVinet Scale - Clinician,ReSVinet Scale - Clinician version
MSCOA,Multiple Sclerosis Clinical Outcome Assessment
D-PPAC,Daily PROactive Physical Activity in COPD
C-PPAC,Clinical PROactive Physical Activity in COPD
HCI,Hemophilia Caregiver Impact Measure
PRESORS - ObsRO,Pediatric RSV Electronic Severity and Outcome Rating System - Observer-b...
PRESORS - ClinRO,Pediatric RSV Electronic Severity and Outcome Rating System - Clinician...
Wang Symptom Score,WSS
SCI-PRESORS,Spinal Cord Injury PREssure Sore Onset Risk screening
PCS,Personal Competence Scale
WOMAC Function SF,Western Ontario and McMaster Universities Function Short-Form
SWFL,Satisfaction with Food-related Life
API,Autonomy Preference Index
PBC-27,Primary Biliary Cirrhosis - 27 items
PBC-10,Primary Biliary Cirrhosis - 10 items
BSSS,Berlin Social Support Scales
Baecke Questionnaire,Baecke Questionnaire
Modified Baecke Questionnaire,Modified Baecke Questionnaire
UCLA Loneliness Scale,University of California Los Angeles Loneliness Scale
RULS-6,6-item Revised UCLA Loneliness Scale
LSNS-6,Lubben Social Network Scale-6
DEQ-5,Drug Effects Questionnaire-5
SARC-F,"Strength, Assistance with walking, Rise from a chair, Climb stairs and Falls"
EVS,Eating Validation Scheme
DYPAGS-SF,Dynamic Parkinson Gait Scale-Short Form
IST,Isaacs Set Test
DAS-32,Dyadic Adjustment Scale
RDAS,Revised Dyadic Adjustment Scale
P-QOL,Prolapse Quality of Life Questionnaire
ASQ,Ages and Stages Questionnaires
vIGA-AD™,Validated Investigator Global Assessment for Atopic Dermatitis™ Scale
SD-NRS,Sleep Disturbance Numerical Rating Scale
CSQ-8 Child Services (Parent Rated),Client Satisfaction Questionnaire - 8 Child Services...
CSQ-3,Client Satisfaction Questionnaire - 3
CSQ-4,Client Satisfaction Questionnaire - 4
CSQ-18A,Client Satisfaction Questionnaire - 18A
CSQ-18B,Client Satisfaction Questionnaire - 18B
ASQ:SE,Ages and Stages Questionnaires: Social-Emotional
HPES - Impact,Hypoparathyroidism Patient Experience Scale-Impact
ASRM,Altman Self-Rating Mania Scale
ASRM-11,Altman Self-Rating Mania Scale - 11-item version
ASRM-14,Altman Self-Rating Mania Scale - 14-item version
ASRMU,Asthma Symptom and Rescue Medication Use
HPES - Symptom,Hypoparathyroidism Patient Experience Scale-Symptom
SOI-R,Revised Sociosexual Orientation Inventory
Meno-D,Meno-D
EPIQ,Epidemiology of Prolapse and Incontinence Questionnaire
ATHF,Antidepressant Treatment History Form
ATHF-SF,Antidepressant Treatment History Form - Short Form
CPBQ,Caregiver-Perceived Burden Questionnaire
FIEI,Female Intervention Efficacy Index
PCB,Perceived Caregiver Burden Scale
PCB-13,Revised Perceived Caregiver Burden Scale
M-CSI,Modified Caregiver Strain Index
SCSES,Sickle Cell Self-Efficacy Scale
FLU-PRO© Plus,inFLUenza Patient-Reported Outcome Plus
DLSA,Daily Log of Sexual Activities
WSID-SF,Women's Sexual Interest Diagnostic Interview - Short Form
WSID,Women's Sexual Interest Diagnostic Interview
DSR,Daily Symptom Report
DSR-20,Modified Daily Symptom Report
IWV-apparatus method,Inverse Water Volumetry method
SCS,Sexual Confidence Scale
SRS,Sexual Relationship Scale
TUG,Timed Up &amp; Go Test
SDQ,Sexual Disgust Questionnaire
Binge Scale,Binge Scale
BPI-DPN,Brief Pain Inventory short form for Diabetic Peripheral Neuropathy
BRI,Brief Reflux Inventory
CAMPAS-R,Cambridge Palliative Assessment Schedule
vIGAxBSA,Investigator's Global Assessment and Body Surface Area
mVSS-TBSA,Modified Vancouver Scar Score linked with TBSA
BSHS-B,Burn Specific Health Scale -Brief
CYRM-28,Child and Youth Resilience Measure - 28 items
CYRM-12,Child and Youth Resilience Measure - 12 items
CYRM-R,Child and Youth Resilience Measure - Revised
SDI-2,Sexual Desire Inventory-2
BSHS-A,Abbreviated Burn Specific Health Scale
RICE BSI-6,RICE Bladder Symptom Impact Scale - 6 items
BSHS,Burn Specific Health Scale
BSHS-R,Burn Specific Health Scale - Revised
RAS,Relationship Assessment Scale
NASA-TLX,National Aeronautics and Space Administration Task Load Index
mVSS,Modified Vancouver Scar Scale
IPREA-16,Inconforts des Patients de REAnimation
VSS,Vancouver Scar Scale
NPSI-Eye,Neuropathic Pain Symptom Inventory - Eye
IPREA-18,Inconforts des Patients de REAnimation 18-item version
CHORES,Children Helping Out Responsibilities Expectations and Supports
IRSS,Infertility-Related Stress Scale
CAPE,Children's Assessment of Participation and Enjoyment
PAC,Preferences for Activities of Children
AA-QLI,Alopecia Areata Quality of Life Questionnaire
NSSS,New Sexual Satisfaction Scale
CIDES,Cyber Info-Decisional Empowerment Scale
RSBQ,Rett Syndrome Behaviour Questionnaire
NSSS-S,New Sexual Satisfaction Scale - Short Form
DYPAGS,Dynamic Parkinson Gait Scale
Empowerment Scale,Empowerment Scale
CRA,Caregiver Reaction Assessment
GABS,Gait and Balance Scale
GSFQ,Gastrointestinal Short Form Questionnaire
PFS-12,Piper Fatigue Scale-12 (PFS-12)
PFS-R,Piper Fatigue Scale Revised
HAP,Human Activity Profile
Shwachman-Kulczycki Score,Shwachman-Kulczycki Score
LPR-HRQL,Laryngopharyngeal Reflux–Health-Related Quality of Life questionnaire
LIS,Leuven Itch Scale
CSEI-SC,Coopersmith Self-esteem Inventory - School Form
Manterola Questionnaire,Manterola Questionnaire
CSEI-SC - Short Form,Coopersmith Self-esteem Inventory - School Form - Short Form
MMAS,Modified Modified Ashworth Scale
CSEI-AD - Adult Form,Coopersmith Self-esteem Inventory - Adult Form
PPRS-SF,Patient Physician Relationship Scale-Short Form
PPRS,Patient-Physician Relationship Scale
mPDAI,modified Pouchitis Disease Activity Index
SPS,Skin Picking Scale
SPS-R,Skin Picking Scale-Revised
SPIS,Skin Picking Impact Scale
SPIS-S,Skin Picking Impact Scale - Short Version
WEMWBS,Warwick-Edinburgh Mental Well-being Scale
SWEMWBS,Short Warwick-Edinburgh Mental Well-being Scale
CASE-Cancer,Communication and Attitudinal Self-Efficacy scale for cancer
MySIm-Q,Multiple Myeloma Symptom and Impact Questionnaire
FAAQ-II,Food Craving Acceptance and Action Questionnaire - II
NeuroFlexor,NeuroFlexor
Horowitz Questionnaire,Horowitz Questionnaire
BDI-FS,Beck Depression Inventory-Fast Screen
Beighton Score,Beighton Score
PDAI,Pouchitis Disease Activity Index
CDBQ,California Dementia Behavior Questionnaire
Callier Azusa Scale,Callier Azusa Scale
CDS,Cambridge Depersonalization Scale
Cape Town index,Cape Town index
CDQ,Carlsson-Dent Questionnaire
FAMCARE,Family Satisfaction with the End-of-Life Care
FAMCARE-2,Family Satisfaction with the End-of-Life Care-2
FAMCARE-6,Family Satisfaction with the End-of-Life Care-6
IBDSI,Inflammatory Bowel Disease Symptom Inventory
CSI,Celiac Symptom Index
SMWQ V1,Study Medication Withdrawal Questionnaire - Version 1
CDAT,Celiac Dietary Adherence Test
CNPI,Checklist of Nonverbal Pain Indicators
Lémann Score,Lémann Score
CARE,Consultation and Relational Empathy
CMDI,Chicago Multiscale Depression Inventory
CAG-SAS,Child Acute Gastroenteritis Questionnaire
OBAS,Overall Benefit of Analgesia Score
CASP,Child and Adolescent Scale of Participation
CFFS,Child and Family Follow-up Survey
CASE,Child and Adolescent Scale of Environment
POMS,Post-Operative Morbidity Survey
CAFI,Child and Adolescent Factors Inventory
PEM-CY,Duplicate: Participation and Environment Measure for Children and Youth
SAPS-CT,Self-Assessment of Psoriasis Symptoms - Clinical Trials
SAPS-RW,Self-Assessment of Psoriasis Symptoms - Real World
Scalpdex,Scalpdex
PACIC,Patient Assessment of Chronic Illness Care
PEDS,Pediatric Emotional Distress Scale
PACIC-S,Patient Assessment of Chronic Illness Care - Short Version
CSBI,Child Sexual Behavior Inventory
PUQ-R,Patient Uncertainty Questionnaire-Rheumatology
PSAB,Psoriasis Skin Appearance Bothersomeness
CHWRS,Children's Hospital of Wisconsin Respiratory Score
UC Overall Disease Severity Index,Ulcerative Colitis Overall Disease Severity Index
CPAT,CNA Pain Assessment Tool
CP QOL-Teen,Cerebral Palsy Quality of Life Questionnaire-Teen
CD Overall Disease Severity Index,Crohn's Disease Overall Disease Severity Index
CCTQ,Children's Chronotype Questionnaire
CP QOL-Child,Cerebral Palsy Quality of Life Questionnaire-Child
PSI,Post-Sleep Inventory
CDBQ,Crohn's disease burden questionnaire
Rutgeert's Score,Rutgeert's Score
RSQ-D,Restorative Sleep Questionnaire Daily Version
DP-6,Daily Practice Composite Score
RSQ-W,Restorative Sleep Questionnaire Weekly Version
SMHQ,St. Mary's Hospital Sleep Questionnaire
D-KEFS,Delis-Kaplan Executive Function System
TAQ,Treatment Acceptability Questionnaire
UCAI,Ulcerative Colitis Activity Index
Van Assche Score,Van Assche Score
MCTQ,Munich Chronotype Questionnaire
MCTQ for Children and Adolescents,Munich Chronotype Questionnaire for Children and Adole...
µMCTQ,Short Version of the Munich Chronotype Questionnaire
MCTQShift,Munich Chronotype Questionnaire for Shift-Workers
BUSS,Bladder Utility Symptom Scale
CaSUN,Cancer Survivors' Unmet Needs Measure
SQUASH,Short Questionnaire to Assess Health Enhancing Physical Activity
PCQ,Psychological Consequences Questionnaire
CVCS,COVID-19 Vaccine Concerns Scale
VaCCS,Vaccination Concerns in COVID-19 Scale
CIS,COVID-19 Impact Scale
SWD,Satisfaction With Decision Scale
CSS,Coping Strategies Scale
IGDS9-SF,Internet Gaming Disorder Scale 9–Short-Form
IFIS,International Fitness Scale
PTGI,Posttraumatic Growth Inventory
IGD-20 Test,Internet Gaming Disorder Test
GDT,Gaming Disorder Test
PTGI-SF,Posttraumatic Growth Inventory - Short Form
PTGI-C,Posttraumatic Growth Inventory for Children
IDS-15,Internet Disorder Scale
PTGI-C-R,Posttraumatic Growth Inventory for Children-Revised
IDS9-SF,Internet Disorder Scale-Short Form
PTGI-X,Posttraumatic Growth Inventory-Expanded Version
MGTS,Myasthenia Gravis TeleScore
CORAS,COVID-19 Own Risk Appraisal Scale
Pro-VC-Be,Health Professionals Vaccine Confidence and Behaviors
GPS,Global Pain Scale
CCEDRRN COVID-19 Mortality Score,Canadian COVID-19 Emergency Department Rapid Response N...
SDM-Q-9,9-item Shared Decision Making Questionnaire
CoVQuest-CC,COVID-19 Knowledge and Behavior Questionnaire
SDM-Q-Doc,Shared Decision Making Questionnaire - Physician Version
ISDUTYP,Inventory of Symptoms of Professional Traumatic Grief
BBUSQ-22,Birmingham Bowel and Urinary Symptoms Questionnaire
F-COVID-19,COVID-19 Fatalism Scale
FAT-LAT-COVID-19,COVID-19 Fatalism Scale in Latin America
PIPES,Physical Inactivity Perceived Experience Scale
GCSS,Genetic Counseling Satisfaction Scale
SOGS,South Oaks Gambling Screen
DDS,Depressive Signs Scale
MDS,Moral Distress Scale
MDS-R,Moral Distress Scale-Revised
SOGS-RA,South Oaks Gambling Screen-Revised Adolescent
BAGS,Brief Adolescent Gambling Screen
CoVaH,Multidimensional COVID-19 Vaccine Hesitancy Scale
QUID,Questionnaire for Urinary Incontinence Diagnosis
WHIIRS,Women's Health Initiative Insomnia Rating Scale
PBI - Mother Form,Parental Bonding Instrument - Mother Form
PBI - Father Form,Parental Bonding Instrument - Father Form
MOPS - Mother Form,Measure of Parental Style - Mother Form
MOPS - Father Form,Measure of Parental Style - Father Form
SEXSAT-Q,Sexual Satisfaction Questionnaire
DHLI,Digital Health Literacy Instrument
COVID-HL Survey,COVID-19 Health Literacy Survey
PSM,Psychological Stress Measure
PSM-9,Psychological Stress Measure-9 items
COREFO,Colorectal Functional Outcome Questionnaire
DBS,Discomfort Behavior Scale
ADAM,Androgen Deficiency in Aging Males Questionnaire
DSI-SS,Depressive Symptom Index Suicidality Subscale
SMAIS-ULM Self-Report,Spinal Muscular Atrophy Independence Scale - Upper Limb Module Sel...
DISCO,Diagnostic Interview for Social and Communication Disorders
DS-DAT,Discomfort Scale for Dementia of Alzheimer's Type
DEAS,Disordered Eating Attitude Scale
eHEALS,eHealth Literacy Scale
DEAS-S,Disordered Eating Attitude Scale - Short form
DMQ,Dyspnea Management Questionnaire
eHeals-Carer,eHealth Literacy Scale for Carers
MESUPES-Arm,Motor Evaluation Scale for Upper Extremity in Stroke Patients - Arm
MESUPES-Hand,Motor Evaluation Scale for Upper Extremity in Stroke Patients - Hand
eHEALS-E,eHealth Literacy Scale-Extended
EAT,Eatting Attitude Test
EDAM,Eating Disorder Assessment for Men
EIBDQ,Edinburgh IBD Quality of Life Questionnaire
PMI,Pregnancy Mobility Index
ASQ,Absenteeism Screening Questionnaire
JWHS-76,Juvenile Wellness and Health Survey
MQLS,McMaster Quality of Life Scale
CUCQ-32,Crohn's and Ulcerative Colitis Questionnaire
CUCQ+,Crohn's and Ulcerative Colitis Questionnaire +
ECCI,Endoscopic–Clinical Correlation Index
EIQ,Eppendorf Itch Questionnaire
PKDIA,Pyruvate Kinase Deficiency Impact Assessment
FES,Falls Efficacy Scale
M-FES,Modified Falls Efficacy Scale
CBI,Copenhagen Burnout Inventory
Icon-FES,Falls Efficacy Scale-International
CHS,Coping Humor Scale
Dietary Choices and Habits during COVID-19 Lockdown-Q,Dietary Choices and Habits during ...
3D-WFI,Three-Dimensional Work Fatigue Inventory
FAM-III™,Family Assessment Measure-III™
OEE,Outcome Expectations for Exercise Scale
FAM-Brief,Family Assessment Measure - Brief version
OEE-2,Outcome Expectations for Exercise Scale-2
UIC FFM,University of Illinois at Chicago Fear of Falling Measure
SOEE,Short Outcome Expectations for Exercise Scale
REM-71,Response Evaluation Measure-71
REM-Y-71,Response Evaluation Measure-Youth-71
REM-Y-22,Response Evaluation Measure-Youth-22
REM-P-71,Response Evaluation Measure-Parent-71
PSEFSMS,Perceived Self-Efficacy for Fatigue Self-Management Scale
Mini-MAC,Mini-Mental Adjustment to Cancer Scale
FPQ-III,Fear of Pain Questionnaire-III
FOPQ-C,Fear of Pain Questionnaire - Child report
FOPQ-P,Fear of Pain Questionnaire - Parent report
OHVS,Oral Health Values Scale
NCCNDT,National Comprehensive Cancer Networks Distress Thermometer
MHI-13,Mental Health Index-13
ICBPM4,International Cancer Benchmarking Partnership Module 4 Survey
DSES,Decision Self Efﬁcacy Scale
BTARS,Bortner Type A Rating Scale
Rowe Score for Instability,Rowe Score for Instability
CMCC,The Care of My Child with Cancer Questionnaire
DSI,Dialysis Symptom Index
FABQ,Fear-Avoidance Beliefs Questionnaire
NAT: PD-C,Needs Assessment Tool: Progressive Disease - Cancer
FAST,Firestone Assessment of Self-Destructive Thoughts
Four-Graded Heartburn Severity Scale,Four-Graded Heartburn Severity Scale
NAT: PD-HF,Needs Assessment Tool: Progressive Disease - Heart Failure
MADRS-S,Montgomery-Asberg Depression Rating Scale - Self-Administered
BNSQ,Basic Nordic Sleep Questionnaire
Eight-Graded Heartburn Frequency Scale,Eight-Graded Heartburn Frequency Scale
CBIS for Girls,Children's Body Image Scale for Girls
KOOS-12,Knee Injury and Osteoarthritis Outcome Score - 12 items
CBIS for Boys,Children's Body Image Scale for Boys
HOOS-12,Hip disability and Osteoarthritis Outcome Score - 12 items
KOOS-Child,Knee Injury and Osteoarthritis Outcome Score - Child version
CASS,Comprehensive Acne Severity Scale
SADQ-21,Stroke Aphasic Depression Questionnaire
MISS-29,Medical Interview Satisfaction Scale
MISS-21,Medical Interview Satisfaction Scale
YAPFAQ,Youth Acute Pain Functional Ability Questionnaire
SCPBI-Y,Sickle Cell Disease Pain Burden Interview-Youth
LPSI,Lichen Planus Severity Index
CKD-AQ,Chronic Kidney Disease-Anemia Questionnaire
ClinRO Measure for Eyelash Hair Loss™,ClinRO Measure for Eyelash Hair Loss™
ClinRO Measure for Eyebrow Hair Loss™,ClinRO Measure for Eyebrow Hair Loss™
ClinRO Measure for Nail Appearance™,ClinRO Measure for Nail Appearance™
PRO Measure for Eyebrows™,PRO Measure for Eyebrows™
PRO Measure for Eyelashes™,PRO Measure for Eyelashes™
PRO Measure for Nail Appearance™,PRO Measure for Nail Appearance™
PRO Measure for Eye Irritation™,PRO Measure for Eye Irritation™
PPQ,Perception of Procedures Questionnaire
IOWA Conners Rating Scale,Inattention/Overactivity with Aggression Conners scale
DIEPSS,Drug-Induced Extrapyramidal Symptoms Scale
ASHS,Adolescent Sleep Hygiene Scale
CMHCHD,Central Middlesex Hospital Children's Health Diary
RAINH,Resident Assessment Instrument-Nursing Home
CHEOPS,Children's Hospital of Eastern Ontario Pain Scale
NCCPC-R,Non-Communicating Children's Pain Checklist-Revised
RAI-MH,Resident Assessment Instrument-Mental Health
NCCPC-PV,Non-Communicating Children's Pain Checklist-Postoperative Version
NIPS,Neonatal Infant Pain Scale
BIIP,Behavioral Indicator of Infant Pain
NQE,Nutrition Questionnaire for Elderly
MNQE,Modified Nutrition Questionnaire for Elderly
EFS,Edmonton Frail Scale
GCIF,Geriatrician's Clinical Impression of Frailty
OHI-S,Simplified Oral Hygiene Index
OHI,Oral Hygiene Index
FAC,Functional Ambulation Categories
AVL,Adaptation of the Age-Related Vision Loss Scale
AVL12,Short Form Adaptation of the Age-Related Vision Loss Scale
GRASSP Version 1 (GV1),"Graded Redefined Assessment of Strength, Sensation and Prehension..."
GRASSP Version 2 (GV2),"Graded Redefined Assessment of Strength, Sensation and Prehension..."
GRASSP Version Myelopathy (GVM),"Graded Redefined Assessment of Strength, Sensation and P..."
HEGI™,HE Grading Instrument
WAI,Weinberger Adjustment Inventory
CESD-10,Center for Epidemiologic Studies Depression Scale-10
WAI-SF,Weinberger Adjustment Inventory - Short Form
CFS 2.0,Clinical Frailty Scale 2.0
VOS,Voice Outcome Survey
EFS-AC,Edmonton Frail Scale-Acute Care
SAMI,Sleep Associated Monitoring Index
PFFS PRO version,Pictorial Fit-Frail Scale PRO version
PPAS,Posture and Postural Ability Scale
PFFS ObsRO version,Pictorial Fit-Frail Scale ObsRO version
VDI,Vasculitis Damage Index
CWIS,Cardiff Wound Impact Schedule
STREAM,Stroke Rehabilitation Assessment of Movement
PFFS HCP,Pictorial Fit-Frail Scale Health Care Professional
PFFS-Acute,Pictorial Fit-Frail Scale-Acute
PFFS-HCP Acute,Pictorial Fit-Frail Scale-Health Care Professional Acute
AS-20,Adult Strabismus Questionnaire - 20
Revised NSI Checklist,Revised Nutrition Screening Initiative Checklist
SHARE-FI Male,"Survey of Health, Ageing and Retirement in Europe Frailty Instrument-Male"
RAID,Rating Anxiety in Dementia
SHARE-FI Female,"Survey of Health, Ageing and Retirement in Europe Frailty Instrument-Fem..."
LLFDI,Late-Life Function and Disability Instrument
GPSS,Geriatric Postal Screening Survey
KESS,Knowles Eccersley Scott Symptom Score
DJGLS,De Jong Gierveld Loneliness Scale
NLDO,NasoLacrimal Duct Obstruction Questionnaire
Nu-DESC,Nursing Delirium Screening Scale
PIMRA (informant version),Psychopathology Instrument for Mentally Retarded Adults
PIMRA (self-report version),Psychopathology Instrument for Mentally Retarded Adults
6-Item (short) DJGLS,6-Item (short) De Jong Gierveld Loneliness Scales
PIMRA-S,Psychopathology Instrument for Mentally Retarded Adults-Sexuality Scale
MAI,Medication Appropriateness Index
CaTCoN,"Cancer Caregiving Tasks, Consequences and Needs Questionnaire"
LAI-knee,Lequesne's Algofunctional Index for Knee
MLSS,Multifaceted Lifestyle Satisfaction Scale
QMFT,Quick Motor Function Test
OPTIMAL,Outpatient Physical Therapy Improvement in Movement Assessment Log Instrument
Pompe-PEDI,Pompe-Paediatric Evaluation of Disability Inventory
MAPMISS,McSweeney Acute and Prodromal Myocardial Infarction Symptom Survey
PBHDS,Pediatric Barriers to a Healthy Diet Scale
PedEyeQ for Children Ages 0-4 Years,Pediatric Eye Questionnaire for Children Ages 0-4 Ye...
PedEyeQ for Children Ages 5-11 Years,Pediatric Eye Questionnaire for Children Ages 5-11 ...
PedEyeQ for Children Ages 12-17 Years,Pediatric Eye Questionnaire for Children Ages 12-1...
CBBDQ,Childhood Bladder and Bowel Dysfunction Questionnaire
VDPQ,Vermont Disability Prediction Questionnaire
PACQ,Panic Attack Cognitions Questionnaire
PASQ,Panic Attack Symptoms Questionnaire
SDIHW,Sexual Dimensions Instrument for Hispanic Women
PRSexDQ-SALSEX,Psychotropic-Related Sexual Dysfunction Questionnaire
MICCI,Morbidities Index for Caregivers of Chronic Illnesses
3NLQ,Three-Levels-of-Needs Questionnaire
NVPQOL,Nausea and Vomiting in Pregnancy Quality of Life
MG Symptoms PRO,Myasthenia Gravis Symptoms Patient Reported Outcome Instrument
USSQ,Ureteral Stent Symptoms Questionnaire
WURS,Wender Utah Rating Scale
NFTI-QoL,Neurofibromatosis 2 Impact on Quality of life
HAMIS,Hand Mobility in Scleroderma
mHAMIS,Modified Hand Mobility in Scleroderma
NVQ-10,Night Vision Questionnaire
OKS-APQ,Oxford Knee Score - Activity and Participation Questionnaire
GOHAI,Geriatric Oral Health Assessment Index
MSQ Version 2.1,Migraine-Specific Quality-of-Life Questionnaire
QUALAS-A,QUAlity of Life Assessment in Spina bifida for Adults
SHS,Short Health Scale
SHS-GI,Short Health Scale for Gastrointestinal Symptoms
TEX-Q,Treatment Expectation Questionnaire
APLES,Achondroplasia Personal Life Experience Scale - Parent version
APLES,Achondroplasia Personal Life Experience Scale - Self version
EI / TFEQ,Eating Inventory / Three-Factor Eating Questionnaire
CEDL or Child Engage,Child Engagement in Daily Life
FSHD-COM,Facioscapulohumeral Muscular Dystrophy Functional - Composite Outcome Measure
FSHD-HI,Facioscapulohumeral Muscular Dystrophy - Health Index
TranQoL,Transfusion-dependent QoL questionnaire
TFEQ-R18,Three-Factor Eating Questionnaire - Revised 18-item
TFEQ-R21,Three-Factor Eating Questionnaire - Revised 21-item
AMPSIMM,Amputee Single Item Mobility Measure
CBCL,Child Behavior Checklist
TIGER Score,Toronto IBD Global Endoscopic Reporting Score
MPQ,McGill Pain Questionnaire
HBI-PRO,Harvey-Bradshaw Index - PRO Score
PERMP,Permanent Product Measure of Performance
DBAS,Dysfunctional Beliefs and Attitudes about Sleep
GHQ,General Health Questionnaire
10-item ICD-QOL,10-item Implantable Cardioverter Defibrillator Quality of Life Questionn...
SKAMP,"Swanson, Kotkin, Agler, M-Flynn, and Pelham Rating Scale"
8-item ICD-QOL,8-item Implantable Cardioverter Defibrillator-specific Quality of Life Qu...
GAS-30,Geriatric Anxiety Scale - 30 items
TBQ,Burden of Treatment Questionnaire
TSS,Total Symptom Score
CCQ,Clinical COPD Questionnaire
DSFI,Derogatis Sexual Functioning Inventory
SANDE,Symptom Assessment in Dry Eye
GAS-10,Geriatric Anxiety Scale-10 item
BEBS (Adult Version),Birmingham Epidermolysis Bullosa Severity Score (Adult Version)
DISS,Daytime Insomnia Symptom Scale
CES-D,Center for Epidemiologic Studies Depression Scale
BEBS (Child Version),Birmingham Epidermolysis Bullosa Severity Score (Child Version)
ASI,Addiction Severity Index
SOBQ,"The University of California, San Diego Shortness of Breath Questionnaire"
EA-QOL,Esophageal-Atresia-Quality-of-life Questionnaire
DMD Upper Limb PROM,Duchenne Muscular Dystrophy Upper Limb Patient-Reported Outcome Meas...
S-QoL 41,Schizophrenia Quality of Life Questionnaire – Clinical Research Form
S-CGQoL,Schizophrenia CareGiver Quality of Life Questionnaire
S-QOL 18,Schizophrenia Quality of Life Questionnaire Short Form – Clinical Practice
ACEND,Assessment of caregiver experience with neuromuscular disease
COVD,College of Optometrists in Vision Development Quality of Life Outcomes Assessment
HRQoL,Hypospadias-Specific Health-Related Quality of Life
iscorEB,Instrument for Scoring Clinical Outcomes of Research for Epidermolysis Bullosa
DHI,Dizziness Handicap Inventory
D-QoL,Dementia Quality of Life Instrument
DEFS,Dutch Exertion Fatigue Scale
DUFS,Dutch Fatigue Scale
QOLCE,Quality of Life in Childhood Epilepsy Questionnaire
FLIC,Functional Living Index: Cancer
QLQ or CEQ,Quality of Life Questionnaire or Client Experiences Questionnaire
DSMP,Diabetes Self-Management Profile
QOL-CA,Quality of Life Cancer Scale
CMTHI,Charcot-Marie-Tooth Health Index
FSAQ,Fallowfield's Sexual Activity Questionnaire
mMRC Dyspnea Scale,Modified Medical Research Council Dyspnea Scale
DEPS,Dependence Scale
FLP,Functional Limitations Profile
MLHF,Minnesota Living with Heart Failure Questionnaire
RBDSQ,REM Sleep Behavior Disorder Screening Questionnaire
FSHQ,Florida Sexual History Questionnaire
Skindex Mini,Skindex Mini
GHABP,Glasgow Hearing Aid Benefit Profile
IIQ,Incontinence Impact Questionnaire
IDS-SR and IDS-C,Inventory of Depressive Symptomatology
GHSQ,Glasgow Health Status Questionnaires
HSQ,Health Status Questionnaire 2.0
HNQOL,Head and Neck Quality of Life instrument
